,Unnamed: 0,Name,Location,overall_rating,Num_Reviews,Cuisines,Score,rest_id,Score_New,Score_
99,99,Sampaguita Village,North York,,40,"Filipino, Chinese, Asian",0.146681662,99,3.733408308,646.681662
116,116,King's Tacos,Earlscourt,3.8,40,Mexican,0.242612255,116,4.213061274,742.612255
53,53,The Lobster Trap,Woodbridge,,39,Seafood,0.096646617,53,3.483233085,596.646617
60,60,Yellowtail,Markham,3.7,39,"Sushi, Japanese, Asian",0.17254677,60,3.862733852,672.54677
66,66,The Beech Tree,The Beaches,3.9,39,British,0.259260083,66,4.296300415,759.260083
82,82,Grenadier Cafe,High Park,,39,Diner,0.072012716,82,3.360063582,572.012716
118,118,Garlic Onion,Richmond Hill,3.7,39,"Cantonese, Chinese, Asian",0.080942646,118,3.404713228,580.942646
43,43,Son of a Peach,Burlington,3.6,38,"Quick Bites, Pizza",0.219918516,43,4.099592579,719.918516
52,52,District Social,Dufferin Grove,3.5,38,"Middle Eastern, Mediterranean",0.161311049,52,3.806555247,661.311049
61,61,Brioche Dorée,Fashion District,3.5,38,"Café, Bakery, Bakery, Cafe",0.175049141,61,3.875245707,675.049141
101,101,Early Bird,Niagara,3.8,38,"Café, Cafe",0.243215789,101,4.216078944,743.215789
39,39,Phoenix Pan Asian Cuisine,Scarborough,,37,Hakka Chinese,0.179360395,39,3.896801973,679.360395
94,94,Galaxie Diner,Woodbridge,3.9,37,"Deli, American",0.169408551,94,3.847042757,669.408551
23,23,Kothur Indian Cuisine,Etobicoke,3.9,36,Indian,0.165683285,23,3.828416424,665.683285
46,46,Rawlicious,Markham,3.5,36,"Café, Healthy Food, Cafe, Vegetarian",0.191911645,46,3.959558226,691.911645
112,112,China Cottage,Scarborough,3.5,36,"Hakka Chinese, Thai",0.126493002,112,3.63246501,626.493002
153,153,Suksi Biryani House,Church and Wellesley,3.9,36,Indian,0.285324566,153,4.426622831,785.324566
13,13,Tasty BBQ Seafood Restaurant,North York,3.8,35,"Cantonese, Chinese, Asian",0.12255506,13,3.612775301,622.55506
148,148,The Great Wok Of China,Mississauga,3.9,35,"Chinese, Asian",0.200599832,148,4.002999161,700.599832
155,155,Tom's Burger,Markham,3.9,35,"Quick Bites, Fast Food",0.236943053,155,4.184715265,736.943053
56,56,Wonton Chai Noodle,Mississauga,3.9,34,"Quick Bites, Cantonese",0.180784052,56,3.903920258,680.784052
109,109,Cafe Green Tea,Markham,3.6,34,"Japanese, Asian",0.11065089,109,3.553254448,610.65089
117,117,The Bistro on Main,Milton,3.9,34,"Canadian, European",0.20174423,117,4.008721149,701.74423
65,65,El Almacen,Beaconsfield Village,3.8,33,"Café, Cafe, Latin American",0.311383488,65,4.556917438,811.383488
164,164,Doppio Zero,Forest Hill,3.9,33,"Pizza, Italian",0.17790388,164,3.889519398,677.90388
34,34,Santo Italian Restaurant,Thornhill,3.9,32,Italian,0.232544601,34,4.162723004,732.544601
54,54,The Tavern By Trevor,Entertainment District,,32,"Bar Food, Fusion",0.166299865,54,3.831499327,666.299865
157,157,Dessert Lady,Yorkville,3.9,32,"Dessert Parlor, Desserts",0.276188492,157,4.38094246,776.188492
62,62,Bapbo,Discovery District,3.5,31,"Korean, Japanese",0.132324393,62,3.661621967,632.324393
115,115,The Rolling Pin,Bedford Park,3.6,31,"Dessert Parlor, Desserts",0.224807891,115,4.124039455,724.807891
147,147,Tuptim Thai Restaurant,Newmarket,3.9,31,Thai,0.216166468,147,4.08083234,716.166468
156,156,Wow! Wings House,Whitby,3.9,31,"Bar, BBQ, Bar Food",0.168454861,156,3.842274306,668.454861
158,158,Lotus Pond Vegetarian Restaurant,Scarborough,3.9,31,Chinese,0.151286376,158,3.756431878,651.286376
161,161,Athens Restaurant & Tavern,The Danforth,3.9,31,"Greek, Mediterranean",0.202925817,161,4.014629084,702.925817
166,166,The Feathers,The Beaches,3.9,31,"British, Bar Food",0.3256661,166,4.628330499,825.6661
151,151,Thai Senses Restaurant,Oakville,3.9,30,"Thai, Asian",0.227277092,151,4.13638546,727.277092
152,152,Spicy Affair,Oshawa,3.9,30,Indian,0.246921679,152,4.234608394,746.921679
165,165,Royal Orchard Thai Cuisine,Thornhill,3.9,30,Thai,0.160943878,165,3.804719388,660.943878
31,31,Kailash Parbat,Mississauga,,29,Indian,0.245987082,31,4.229935412,745.987082
160,160,Il Cavallino Ristorante,Woodbridge,3.9,29,Italian,0.218063756,160,4.090318778,718.063756
37,37,Golden Court Abalone Restaurant,Richmond Hill,,28,"Dim Sum, Cantonese, Chinese, Asian",0.052614251,37,3.263071257,552.614251
107,107,Prenup Pub,Discovery District,,28,"Bar, Bar Food, European, Canadian",0.161226476,107,3.80613238,661.226476
150,150,Ellen's Bar & Grill,Brampton,3.9,27,"Bar, Bar Food, American",0.205066227,150,4.025331134,705.066227
145,145,Blackhorn Steakhouse,Scarborough,3.9,26,"Steak, Seafood, Greek",0.206160119,145,4.030800594,706.160119
162,162,Sakada Sushi,Pickering,3.9,26,"Sushi, Japanese, Asian",0.250954384,162,4.25477192,750.954384
163,163,Market Place Fish & Chips,Mississauga,3.9,26,"Quick Bites, Fish and Chips",0.349135753,163,4.745678766,849.135753
114,114,Pho Viet Xpress,Thornhill,3.9,25,Vietnamese,0.229322879,114,4.146614397,729.322879
120,120,Greens Vegetarian,Kensington-Chinatown,3.7,25,"Cantonese, Vegetarian",0.08848731,120,3.442436549,588.48731
149,149,Jinju Sushi,Scugog,3.9,25,"Asian, Japanese, Sushi",0.248502834,149,4.242514172,748.502834
154,154,Patisserie Sebastien,Bedford Park,3.9,24,"Bakery, Café, Bakery, Cafe",0.154468852,154,3.772344258,654.468852
70,70,Rib Eye Jack's Ale House,Mississauga,3.7,22,"Bar, Bar Food, Steak",0.080763421,70,3.403817103,580.763421
146,146,Tori's Bakeshop,The Beaches,3.9,21,"Bakery, Café, Bakery, Cafe, Coffee and Tea, Desserts",0.194073864,146,3.970369322,694.073864
35,35,Love Me Sweet,Thornhill,3.7,20,"Bakery, Desserts, Japanese",0.130463049,35,3.652315247,630.463049
96,96,King Taps,Financial District,3.5,20,Canadian,0.275944444,96,4.379722222,775.944444
5,5,TCJ Restaurant,St. Lawrence,3.5,19,"Thai, Chinese, Japanese, Asian",0.171066651,5,3.855333254,671.066651
87,87,Sweet O'clock,North York,,19,"Dessert Parlor, Taiwanese, Desserts, Bubble Tea, Asian",0.150036746,87,3.75018373,650.036746
93,93,Cosmic Treats,Kensington-Chinatown,3.6,19,"Dessert Parlor, Desserts, Ice Cream, Canadian",0.291886513,93,4.459432566,791.886513
